"Rsquareds","varExplained","dependents"
0.860379372404957,97.8031909992733,original_spreads
0.553471213499793,75.7280632418141,HYOAS_Spreads
-1.05405052827904,77.9141837372287,CDX.IG_5Y
-2.36616563754299,18.0843652318036,Tbill_3month
-2.92691889940781,29.0283396566829,SP500_DY
-3.12276358307729,98.0952569537249,Ind_Production
-3.47458230454628,14.3360948322348,Fedfund_rate
-4.21558975543849,89.5668669090251,Consumer_Sentiment
-8.40948995310078,7.75377372431477,SP500Ch
-9.15817247053601,8.82780840567174,GDP_ch
